Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
241,3,187260,1.9999649700162825,0.03537702560424805,0.29853212111502725,30070
242,1,61059,0.0002840017023160866,0.01166987419128418,0.007185790559795604,606
243,3,420867,1.9999575503011648,0.07871317863464355,0.2941092609489051,62145
244,3,421148,1.9999915113203492,0.0771787166595459,0.29415312431734214,62196
245,8,287542,6.554333433519083,0.07558608055114746,1.0057800251789304,65536
246,6,434807,4.05236606625254,0.094573974609375,0.5941486682597106,65536
247,6,227835,4.436921371851736,0.05486917495727539,0.6812386156648452,65536
248,7,853136,5.511813865279612,0.20165014266967773,0.815295568350181,65536
249,8,416011,6.554437658525747,0.10700535774230957,0.9943775525166402,65536
250,3,163834,1.999988025984068,0.030894041061401367,0.3029284572000586,26724
251,7,545596,5.391327220344776,0.12753629684448242,0.803330669579689,65536
252,1,19675,0.0007983460944579022,0.004065036773681641,0.011436413540713633,455
253,9,867187,6.554515767618365,0.20777177810668945,0.9809810340791548,65536
254,5,776448,3.2462265179034375,0.15344905853271484,0.4563885797889878,65536
255,6,51966,4.3985428097219526,0.014111995697021484,0.7381869876457684,20714
